,equity
2023-08-07,421.6103852005711
2023-08-08,419.6124694873575
2023-08-09,419.55596495287136
2023-08-10,421.32453711893885
2023-08-11,421.52464377834656
2023-08-12,421.13473796238515
2023-08-13,421.75357262691506
2023-08-14,420.4075025183839
2023-08-15,426.2072310255738
2023-08-16,431.83130641879694
2023-08-17,445.320936845238
2023-08-18,442.464591834229
2023-08-19,441.5368805290992
2023-08-20,440.262884043466
2023-08-21,443.6697410888126
2023-08-22,445.6577770063329
2023-08-23,443.6018081017648
2023-08-24,446.2953028347716
2023-08-25,445.59582885340933
2023-08-26,445.9124661032793
2023-08-27,445.3402939923222
2023-08-28,443.30273435623803
2023-08-29,438.0312668714709
2023-08-30,442.01914950225466
2023-08-31,449.6452481897538
2023-09-01,451.95212894087064
2023-09-02,450.3524038221394
2023-09-03,450.75211306512307
2023-09-04,451.5779384901267
2023-09-05,450.9152691203204
2023-09-06,450.742935805333
2023-09-07,448.52037174417455
2023-09-08,450.95275987524883
2023-09-09,451.2464991347564
2023-09-10,455.7537943634089
2023-09-11,461.69918596855297
2023-09-12,459.6369732278326
2023-09-13,456.87113955685004
2023-09-14,453.0474049010599
2023-09-15,450.3961340832587
2023-09-16,449.6643281984436
2023-09-17,453.31336378009934
2023-09-18,449.9627527936622
2023-09-19,447.8864425483311
2023-09-20,450.4572767656535
2023-09-21,453.33941574111435
2023-09-22,453.2433632863276
2023-09-23,452.9063514849803
2023-09-24,455.04503200119734
2023-09-25,453.07587773749697
2023-09-26,454.24590517062956
2023-09-27,453.4037950162308
2023-09-28,450.07513609336934
2023-09-29,449.9207071180123
2023-09-30,448.66261694684283
2023-10-01,446.0807925499275
2023-10-02,449.5064609149888
2023-10-03,448.97644944975974
2023-10-04,448.38317118609444
2023-10-05,447.50217842079826
2023-10-06,447.5014049551161
2023-10-07,447.707192256089
2023-10-08,448.2172020998031
2023-10-09,449.65522653087675
2023-10-10,449.4458733376756
2023-10-11,449.52425952622787
2023-10-12,450.75064186893843
2023-10-13,450.20484824420424
2023-10-14,449.2360756878466
2023-10-15,449.9691410770483
2023-10-16,451.6525954854659
2023-10-17,455.1703396797932
2023-10-18,457.8486226215131
2023-10-19,457.78712804518653
2023-10-20,457.2942332638558
2023-10-21,451.97146638996384
2023-10-22,450.4560348174099
2023-10-23,451.54410304045507
2023-10-24,455.60990249503254
2023-10-25,457.921649739881
2023-10-26,458.91937218392883
2023-10-27,454.9491516700323
2023-10-28,457.42641547339656
2023-10-29,460.9108651060291
2023-10-30,466.6685366756342
2023-10-31,463.82833105167117
2023-11-01,470.02520116498926
2023-11-02,465.0163109452257
2023-11-03,464.7121003151731
2023-11-04,469.03552348701294
2023-11-05,471.8074705885298
2023-11-06,483.79032838644264
2023-11-07,479.2132347025041
2023-11-08,483.5804523300564
2023-11-09,481.7884862329608
2023-11-10,490.94514724692004
2023-11-11,499.823155025526
2023-11-12,509.43914907790673
2023-11-13,492.1418058814313
2023-11-14,492.29080881277264
2023-11-15,518.8950747055503
2023-11-16,516.6691071138937
2023-11-17,519.7049304403822
2023-11-18,516.134269667811
2023-11-19,522.9033276322539
2023-11-20,510.4866846845418
2023-11-21,488.50680379990877
2023-11-22,505.5445422886827
2023-11-23,504.7858669015776
2023-11-24,509.2052230895962
2023-11-25,516.5362144562158
2023-11-26,515.8899041884812
2023-11-27,507.24682786632843
2023-11-28,511.66295637346855
2023-11-29,512.5001644878876
2023-11-30,515.906346871342
2023-12-01,523.3130685794906
2023-12-02,529.8714362552406
2023-12-03,529.4768412237248
2023-12-04,543.0439786019583
2023-12-05,560.1448490199826
2023-12-06,564.3469406502816
2023-12-07,566.674798046826
2023-12-08,596.6593273965367
2023-12-09,600.0613579089988
2023-12-10,624.6299128309626
2023-12-11,605.6767708064566
2023-12-12,618.6284458290145
2023-12-13,631.6729231131701
2023-12-14,632.5082388230908
2023-12-15,620.5372731008882
2023-12-16,641.4919877404175
2023-12-17,622.8810876422958
