,equity
2023-12-14,609.5916156745043
2023-12-15,588.6852718685403
2023-12-16,592.1203950260369
2023-12-17,580.2726263112635
2023-12-18,592.0109851250165
2023-12-19,583.1732217134521
2023-12-20,599.3302745667784
2023-12-21,628.2196151968064
2023-12-22,633.8555137006784
2023-12-23,644.9802933221955
2023-12-24,643.4126062058308
2023-12-25,659.5427282899856
2023-12-26,648.060499745944
2023-12-27,660.2499743304138
2023-12-28,646.8273469020583
2023-12-29,646.2508339591567
2023-12-30,638.6570921799457
2023-12-31,635.1811616766356
2024-01-01,655.2968751973149
2024-01-02,646.4828122833012
2024-01-03,620.0392506930782
2024-01-04,634.1979854528573
2024-01-05,619.3886238957491
2024-01-06,606.7861704068215
2024-01-07,595.7038156739959
2024-01-08,608.3277279149987
2024-01-09,611.5288220173279
2024-01-10,619.0446144272155
2024-01-11,617.7534934698728
2024-01-12,603.2988323884072
2024-01-13,609.6389624805086
2024-01-14,603.1846816677761
2024-01-15,607.433824995344
2024-01-16,612.7947892424386
2024-01-17,617.5730812029316
2024-01-18,606.8858644814331
2024-01-19,608.9324541571464
2024-01-20,606.5885821937444
2024-01-21,604.3951961927062
2024-01-22,590.1880987001927
2024-01-23,584.6903310507985
2024-01-24,583.6624463083175
2024-01-25,583.1551289922522
2024-01-26,582.2124038519916
2024-01-27,582.4450415821218
2024-01-28,582.1856510437254
2024-01-29,581.79179763453
2024-01-30,582.8783361809208
2024-01-31,580.1484791253337
2024-02-01,580.4669757452423
2024-02-02,582.0575892655877
2024-02-03,580.9004874061327
2024-02-04,583.4712096945178
2024-02-05,584.2886382182091
2024-02-06,581.4197468382222
2024-02-07,583.58238592248
2024-02-08,583.4387863197841
2024-02-09,586.8033690766839
2024-02-10,588.8853497688688
2024-02-11,590.1799041056166
2024-02-12,596.1209385325456
2024-02-13,594.5909166393628
2024-02-14,600.2528188821345
2024-02-15,601.9185915407771
2024-02-16,601.0625839656952
2024-02-17,600.0474000587195
2024-02-18,602.8196799742616
2024-02-19,603.8391971144214
2024-02-20,604.0877404574717
2024-02-21,602.55487670523
2024-02-22,600.5912791333609
2024-02-23,596.6413543573229
2024-02-24,601.3316917136035
2024-02-25,604.6478047083924
2024-02-26,610.7947681955563
2024-02-27,614.5484259610794
2024-02-28,619.9131539149173
2024-02-29,619.4735661891302
2024-03-01,628.7934860811173
2024-03-02,632.9067780552796
2024-03-03,632.594945892702
2024-03-04,639.3263050442342
2024-03-05,617.7308620588454
2024-03-06,632.1339622091132
2024-03-07,644.3895925965005
2024-03-08,644.5385422484208
2024-03-09,646.6329316107607
2024-03-10,653.4763838819242
2024-03-11,654.6893620297551
2024-03-12,654.3951564904974
2024-03-13,672.1092171321483
2024-03-14,668.68163921604
2024-03-15,669.4389870668057
2024-03-16,652.9330860971775
2024-03-17,660.7476917579869
2024-03-18,653.5240135837957
2024-03-19,627.7295809276673
2024-03-20,648.4963060139615
2024-03-21,644.7435817929415
2024-03-22,639.6177019346924
2024-03-23,638.3416483974507
2024-03-24,646.0046361294853
2024-03-25,653.0632491463573
2024-03-26,651.2566635220979
2024-03-27,646.5172105668577
2024-03-28,650.1773896892423
2024-03-29,653.1677622020766
2024-03-30,652.2961823274452
2024-03-31,658.8695619087322
2024-04-01,646.9834336776958
2024-04-02,636.5389120580718
2024-04-03,641.4539146100013
2024-04-04,640.8635316966911
2024-04-05,639.0987173698254
2024-04-06,640.0960650657566
2024-04-07,638.1525777967174
2024-04-08,634.2965853533531
2024-04-09,633.5334693035203
2024-04-10,638.2928491191249
2024-04-11,637.0450861817953
2024-04-12,638.2064278846019
2024-04-13,638.3675352622274
2024-04-14,635.622892540513
2024-04-15,635.4358724554041
2024-04-16,633.7689701916989
2024-04-17,635.2717483457342
2024-04-18,635.053328429907
2024-04-19,634.9057905882215
2024-04-20,632.132351197132
2024-04-21,633.7387346014763
2024-04-22,634.3591175908145
2024-04-23,635.9826721242671
2024-04-24,639.9227636421243
2024-04-25,641.1564508921355
2024-04-26,640.7489941317195
2024-04-27,639.7067886580822
2024-04-28,642.1893524636557
2024-04-29,640.9927668168335
2024-04-30,645.237421050598
2024-05-01,640.4422837196331
2024-05-02,638.9148312912555
2024-05-03,639.0209405214681
2024-05-04,638.0177002754674
2024-05-05,639.0275632091343
2024-05-06,636.8699909064212
2024-05-07,637.6192296372453
2024-05-08,640.5855091753995
2024-05-09,637.8085809918877
2024-05-10,639.5173396118522
2024-05-11,641.2402099300576
2024-05-12,641.7510634694681
2024-05-13,640.3002980300597
2024-05-14,639.6794185335124
2024-05-15,634.4440759742955
2024-05-16,630.3129905881583
2024-05-17,630.5273830307527
2024-05-18,631.0032470508269
2024-05-19,631.2062826220208
2024-05-20,632.4435626878368
2024-05-21,634.1566607559927
2024-05-22,634.2485689103535
2024-05-23,632.3371896981773
2024-05-24,632.6249363597805
2024-05-25,633.4704495694349
2024-05-26,631.7477017284099
2024-05-27,636.64705574203
2024-05-28,634.662918923866
2024-05-29,631.9561460609899
2024-05-30,630.1288229762704
2024-05-31,630.7599050671847
2024-06-01,631.9304047936162
2024-06-02,631.7379812690674
2024-06-03,633.336741821601
2024-06-04,642.6923937069921
2024-06-05,644.9831035241721
2024-06-06,645.8810657644281
2024-06-07,640.501458364713
2024-06-08,640.5178187710269
2024-06-09,639.0380959331173
2024-06-10,631.6068564727267
