,equity
2023-10-06,399.67703724257376
2023-10-07,398.2752585785618
2023-10-08,398.60281357153536
2023-10-09,398.63156437588464
2023-10-10,399.04914985316833
2023-10-11,400.28823487570895
2023-10-12,402.3858520500311
2023-10-13,401.65064908728505
2023-10-14,401.0159643022962
2023-10-15,399.9424387039356
2023-10-16,398.7805693435459
2023-10-17,400.3463778924328
2023-10-18,401.05594281117834
2023-10-19,399.41921013122055
2023-10-20,401.08689927103956
2023-10-21,409.73328157234357
2023-10-22,413.5619668239524
2023-10-23,429.82693574581083
2023-10-24,427.4974368090879
2023-10-25,434.3549849235092
2023-10-26,436.07383911629165
2023-10-27,434.40019669990744
2023-10-28,433.2826763625407
2023-10-29,438.7200189646354
2023-10-30,446.8360539972499
2023-10-31,452.6206642632627
2023-11-01,463.5011916109354
2023-11-02,461.0638628250764
2023-11-03,464.7632307612682
2023-11-04,471.9745890829838
2023-11-05,483.9123559170706
2023-11-06,501.915318144211
2023-11-07,495.2362911323006
2023-11-08,506.2537137202262
2023-11-09,518.0701137164053
2023-11-10,541.0115959527328
2023-11-11,544.5370748811794
2023-11-12,540.5216816822564
2023-11-13,519.199058024985
2023-11-14,519.0355726654286
2023-11-15,549.3378477278076
2023-11-16,520.7075697929813
2023-11-17,520.7354372075217
2023-11-18,523.1630304421473
2023-11-19,537.5823715288756
2023-11-20,528.7853662386211
2023-11-21,496.6991032078757
2023-11-22,522.5695226558769
2023-11-23,524.3089120279355
2023-11-24,525.5633168626524
2023-11-25,531.8629285301377
2023-11-26,527.0931156329791
2023-11-27,515.597948587307
2023-11-28,524.8204700937596
2023-11-29,525.0808812215403
2023-11-30,523.8170408312158
2023-12-01,530.8719420185133
2023-12-02,548.1138857726952
2023-12-03,546.4818907226387
2023-12-04,548.7217635331458
2023-12-05,552.9705950714606
2023-12-06,555.3827516078798
2023-12-07,573.8605746344246
2023-12-08,613.1424967750778
2023-12-09,611.0227933338681
2023-12-10,620.1657957007338
2023-12-11,587.4460473135837
2023-12-12,590.5303095852231
2023-12-13,616.678770817516
2023-12-14,624.4538039417341
2023-12-15,598.5715493017866
2023-12-16,602.8236468569679
2023-12-17,588.1550675018392
2023-12-18,602.6703550000504
2023-12-19,591.722237976743
2023-12-20,611.6763174680824
2023-12-21,647.5158336393345
2023-12-22,654.4703911337926
2023-12-23,668.0774424714323
2023-12-24,665.9698743762134
2023-12-25,686.4151060753371
2023-12-26,672.2411654522416
2023-12-27,687.3562825680989
2023-12-28,670.7691811690319
2023-12-29,670.0314315529362
